iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests
AFG,12/31/2019,0,0,,,
AFG,1/1/2020,0,0,,,
AFG,1/2/2020,0,0,,,
AFG,1/3/2020,0,0,,,
AFG,1/4/2020,0,0,,,
AFG,1/5/2020,0,0,,,
AFG,1/6/2020,0,0,,,
AFG,1/7/2020,0,0,,,
AFG,1/8/2020,0,0,,,
AFG,1/9/2020,0,0,,,
AFG,1/10/2020,0,0,,,
AFG,1/11/2020,0,0,,,
AFG,1/12/2020,0,0,,,
AFG,1/13/2020,0,0,,,
AFG,1/14/2020,0,0,,,
AFG,1/15/2020,0,0,,,
AFG,1/16/2020,0,0,,,
AFG,1/17/2020,0,0,,,
AFG,1/18/2020,0,0,,,
AFG,1/19/2020,0,0,,,
AFG,1/20/2020,0,0,,,
AFG,1/21/2020,0,0,,,
AFG,1/22/2020,0,0,,,
AFG,1/23/2020,0,0,,,
AFG,1/24/2020,0,0,,,
AFG,1/25/2020,0,0,,,
AFG,1/26/2020,0,0,,,
AFG,1/27/2020,0,0,,,
AFG,1/28/2020,0,0,,,
AFG,1/29/2020,0,0,,,
AFG,1/30/2020,0,0,,,
AFG,1/31/2020,0,0,,,
AFG,2/1/2020,0,0,,,
AFG,2/2/2020,0,0,,,
AFG,2/3/2020,0,0,,,
AFG,2/4/2020,0,0,,,
AFG,2/5/2020,0,0,,,
AFG,2/6/2020,0,0,,,
AFG,2/7/2020,0,0,,,
AFG,2/8/2020,0,0,,,
AFG,2/9/2020,0,0,,,
AFG,2/10/2020,0,0,,,
AFG,2/11/2020,0,0,,,
AFG,2/12/2020,0,0,,,
AFG,2/13/2020,0,0,,,
AFG,2/14/2020,0,0,,,
AFG,2/15/2020,0,0,,,
AFG,2/16/2020,0,0,,,
AFG,2/17/2020,0,0,,,
AFG,2/18/2020,0,0,,,
AFG,2/19/2020,0,0,,,
AFG,2/20/2020,0,0,,,
AFG,2/21/2020,0,0,,,
AFG,2/22/2020,0,0,,,
AFG,2/23/2020,0,0,,,
AFG,2/24/2020,0,0,,,
AFG,2/25/2020,1,0,,,
AFG,2/26/2020,0,0,,,
AFG,2/27/2020,0,0,,,
AFG,2/28/2020,0,0,,,
AFG,2/29/2020,0,0,,,
AFG,3/1/2020,0,0,,,
AFG,3/2/2020,0,0,,,
AFG,3/3/2020,,,,,
AFG,3/4/2020,,,,,
AFG,3/5/2020,,,,,
AFG,3/6/2020,,,,,
AFG,3/7/2020,,,,,
AFG,3/8/2020,3,0,,,
AFG,3/9/2020,,,,,
AFG,3/10/2020,,,,,
AFG,3/11/2020,3,0,,,
AFG,3/12/2020,,,,,
AFG,3/13/2020,,,,,
AFG,3/14/2020,,,,,
AFG,3/15/2020,3,0,,,
AFG,3/16/2020,6,0,,,
AFG,3/17/2020,5,0,,,
AFG,3/18/2020,1,0,,,
AFG,3/19/2020,0,0,,,
AFG,3/20/2020,0,0,,,
AFG,3/21/2020,2,0,,,
AFG,3/22/2020,0,0,,,
AFG,3/23/2020,10,0,,,
AFG,3/24/2020,6,1,,,
AFG,3/25/2020,2,0,,,
AFG,3/26/2020,33,0,,,
AFG,3/27/2020,0,0,,,
AFG,3/28/2020,16,1,,,
AFG,3/29/2020,15,1,,,
AFG,3/30/2020,8,1,,,
AFG,3/31/2020,27,0,,,
AFG,4/1/2020,25,0,,,
AFG,4/2/2020,26,0,,,
AFG,4/3/2020,43,0,,,
AFG,4/4/2020,0,0,,,
AFG,4/5/2020,35,1,,,
AFG,4/6/2020,29,2,,,
AFG,4/7/2020,38,0,,,
AFG,4/8/2020,30,4,,,
AFG,4/9/2020,56,3,,,
AFG,4/10/2020,61,1,,,
AFG,4/11/2020,37,0,,,
AFG,4/12/2020,34,3,,,
AFG,4/13/2020,52,0,,,
AFG,4/14/2020,58,3,,,
AFG,4/15/2020,49,2,,,
AFG,4/16/2020,70,2,,,
AFG,4/17/2020,10,4,,,
AFG,4/18/2020,51,1,,,
AFG,4/19/2020,63,0,,,
AFG,4/20/2020,88,3,,,
AFG,4/21/2020,35,2,,,
AFG,4/22/2020,61,1,,,
AFG,4/23/2020,84,4,,,
AFG,4/24/2020,105,2,,,
AFG,4/25/2020,70,1,,,
AFG,4/26/2020,112,4,,,
AFG,4/27/2020,68,10,,,
AFG,4/28/2020,172,0,,,
AFG,4/29/2020,124,3,,,
AFG,4/30/2020,122,0,,,
AFG,5/1/2020,222,4,,,
AFG,5/2/2020,164,4,,,
AFG,5/3/2020,134,4,,,
AFG,5/4/2020,235,13,,,
AFG,5/5/2020,190,5,,,
AFG,5/6/2020,330,5,,,
AFG,5/7/2020,168,9,,,
AFG,5/8/2020,171,2,,,
AFG,5/9/2020,215,3,,,
AFG,5/10/2020,255,6,,,
AFG,5/11/2020,369,5,,,
AFG,5/12/2020,285,2,,,
AFG,5/13/2020,280,5,,,
AFG,5/14/2020,259,3,,,
AFG,5/15/2020,113,6,,,
AFG,5/16/2020,1063,32,,,
AFG,5/17/2020,0,0,,,
AFG,5/18/2020,262,1,,,
AFG,5/19/2020,408,4,,,
AFG,5/20/2020,581,5,,,
AFG,5/21/2020,492,9,,,
AFG,5/22/2020,531,6,,,
AFG,5/23/2020,540,12,,,
AFG,5/24/2020,782,11,,,
AFG,5/25/2020,584,2,,,
AFG,5/26/2020,591,1,,,
AFG,5/27/2020,658,1,,,
AFG,5/28/2020,625,7,,,
AFG,5/29/2020,580,8,,,
AFG,5/30/2020,623,11,,,
AFG,5/31/2020,866,3,,,
AFG,6/1/2020,680,8,,,
AFG,6/2/2020,545,8,,,
AFG,6/3/2020,759,5,,,
AFG,6/4/2020,758,24,,,
AFG,6/5/2020,787,6,,,
AFG,6/6/2020,915,9,,,
AFG,6/7/2020,582,18,,,
AFG,6/8/2020,791,30,,,
AFG,6/9/2020,575,12,,,
AFG,6/10/2020,542,15,,,
AFG,6/11/2020,684,21,,,
AFG,6/12/2020,747,21,,,
AFG,6/13/2020,656,20,,,
AFG,6/14/2020,556,5,,,
AFG,6/15/2020,664,20,,,
AFG,6/16/2020,761,7,,,
AFG,6/17/2020,783,13,,,
AFG,6/18/2020,564,13,,,
AFG,6/19/2020,658,42,,,
AFG,6/20/2020,346,2,,,
AFG,6/21/2020,546,21,,,
AFG,6/22/2020,409,12,,,
AFG,6/23/2020,310,17,,,
AFG,6/24/2020,338,20,,,
AFG,6/25/2020,234,21,,,
AFG,6/26/2020,460,36,,,
AFG,6/27/2020,276,8,,,
AFG,6/28/2020,165,20,,,
AFG,6/29/2020,351,18,,,
AFG,6/30/2020,271,12,,,
AFG,7/1/2020,279,13,,,
AFG,7/2/2020,319,28,,,
AFG,7/3/2020,186,33,,,
AFG,7/4/2020,302,12,,,
AFG,7/5/2020,348,7,,,
AFG,7/6/2020,279,38,,,
AFG,7/7/2020,433,56,,,
AFG,7/8/2020,210,16,,,
AFG,7/9/2020,59,1,,,
AFG,7/10/2020,255,20,,,
AFG,7/11/2020,458,37,,,
AFG,7/12/2020,85,16,,,
AFG,7/13/2020,0,0,,,
AFG,7/14/2020,4,2,,,
AFG,7/15/2020,285,33,,,
AFG,7/16/2020,254,49,,,
AFG,7/17/2020,76,21,,,
AFG,7/18/2020,219,32,,,
AFG,7/19/2020,12,17,,,
AFG,7/20/2020,174,17,,,
AFG,7/21/2020,140,5,,,
AFG,7/22/2020,112,4,,,
AFG,7/23/2020,188,21,,,
AFG,7/24/2020,13,0,,,
AFG,7/25/2020,108,35,,,
AFG,7/26/2020,121,13,,,
AFG,7/27/2020,106,10,,,
AFG,7/28/2020,105,1,,,
AFG,7/29/2020,103,1,,,
AFG,7/30/2020,0,0,,,
AFG,7/31/2020,71,0,,,
AFG,8/1/2020,168,12,,,
AFG,8/2/2020,0,0,,,
AFG,8/3/2020,0,1,,,
AFG,8/4/2020,37,4,,,
AFG,8/5/2020,82,6,,,
AFG,8/6/2020,67,4,,,
AFG,8/7/2020,41,0,,,
AFG,8/8/2020,78,9,,,
AFG,8/9/2020,39,5,,,
AFG,8/10/2020,0,0,,,
AFG,8/11/2020,0,0,,,
AFG,8/12/2020,215,32,,,
AFG,8/13/2020,76,10,,,
AFG,8/14/2020,79,9,,,
AFG,8/15/2020,7,0,,,
AFG,8/16/2020,120,7,,,
AFG,8/17/2020,45,5,,,
AFG,8/18/2020,3,0,,,
AFG,8/19/2020,0,0,,,
AFG,8/20/2020,160,8,,,
AFG,8/21/2020,97,2,,,
AFG,8/22/2020,38,0,,,
AFG,8/23/2020,105,2,,,
AFG,8/24/2020,0,0,,,
AFG,8/25/2020,71,10,,,
AFG,8/26/2020,1,0,,,
AFG,8/27/2020,55,4,,,
AFG,8/28/2020,3,0,,,
AFG,8/29/2020,11,1,,,
AFG,8/30/2020,3,0,,,
AFG,8/31/2020,19,0,,,
AFG,9/1/2020,34,4,,,
AFG,9/2/2020,9,0,,,
AFG,9/3/2020,38,3,,,
AFG,9/4/2020,45,1,,,
AFG,9/5/2020,16,0,,,
AFG,9/6/2020,20,0,,,
